gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000001	270.4984	0.004254685	0.05369861	0.8056543	0.9959254
ENSMUSG00000000028	9.86893	0.005748296	0.06907611	0.436725	0.977655
ENSMUSG00000000031	0.1882329	0.0001075001	0.07553275	0.9349665	NA
ENSMUSG00000000037	15.43518	0.009907949	0.06970073	0.2644336	0.9407565
ENSMUSG00000000049	0.4174903	-8.839016e-06	0.07417938	0.9949507	NA
ENSMUSG00000000056	369.1925	-0.01988939	0.0652315	0.2810577	0.9447288
ENSMUSG00000000058	96.61421	-0.009709344	0.06489974	0.4967161	0.9833475
ENSMUSG00000000078	189.9656	0.002413711	0.06116489	0.8724052	0.9970857
ENSMUSG00000000085	424.9769	-0.02105907	0.07052462	0.1893552	0.9002538
ENSMUSG00000000088	418.5324	0.01938117	0.06339371	0.3042294	0.9545599
ENSMUSG00000000093	8.31558	-0.00247511	0.06892587	0.6976203	NA
ENSMUSG00000000094	5.876696	-0.004155374	0.07091945	0.2365367	NA
ENSMUSG00000000120	32.10354	-0.006955421	0.06887771	0.4098479	0.975772
ENSMUSG00000000125	20.63367	-0.00424559	0.06602459	0.7126667	0.9945077
ENSMUSG00000000126	4.54768	-0.001870478	0.06950186	0.6866375	NA
ENSMUSG00000000127	244.2673	-0.02163712	0.06519641	0.2598069	0.9407565
ENSMUSG00000000131	778.7029	0.001193249	0.0478767	0.9446157	0.9983069
ENSMUSG00000000134	176.1876	-0.01341839	0.06101038	0.4438425	0.9784469
ENSMUSG00000000142	173.8638	0.01732945	0.0621965	0.3479369	0.9678659
ENSMUSG00000000148	161.0406	0.02154522	0.06606722	0.2531911	0.9373433
ENSMUSG00000000149	714.4315	0.02285364	0.06399005	0.2530376	0.9373433
ENSMUSG00000000154	2.894228	-0.001387635	0.06960024	0.7424793	NA
ENSMUSG00000000159	2.101526	0.004252247	0.07075858	0.2442584	NA
ENSMUSG00000000167	13.17673	-0.00499868	0.06899749	0.4862324	0.9833475
ENSMUSG00000000168	597.4431	0.01123201	0.05430469	0.5358993	0.9833475
ENSMUSG00000000171	378.8207	-1.102298e-05	0.05243654	0.9994896	1
ENSMUSG00000000182	2.203602	0.005983858	0.07143728	0.139602	NA
ENSMUSG00000000184	289.6642	-0.01160634	0.06754897	0.3655	0.9705954
ENSMUSG00000000194	343.1338	0.01777222	0.06559262	0.3056981	0.9551794
ENSMUSG00000000197	1522.17	-0.01248271	0.04618925	0.475557	0.9833475
ENSMUSG00000000202	80.01218	0.01136002	0.06779394	0.3608701	0.9687761
ENSMUSG00000000204	0.174983	-0.0005869484	0.0770086	0.660949	NA
ENSMUSG00000000214	73.81575	-0.002998241	0.06743382	0.7497248	0.9953725
ENSMUSG00000000215	0.1421733	-0.0005172324	0.07670743	0.697728	NA
ENSMUSG00000000216	2.093501	0.001220739	0.07007805	0.691262	NA
ENSMUSG00000000223	607.4827	-0.02681937	0.06879928	0.1854634	0.8976294
ENSMUSG00000000244	1.244985	0.0004044451	0.07084336	0.8486759	NA
ENSMUSG00000000247	90.15544	0.01948432	0.07058419	0.191169	0.9016756
ENSMUSG00000000248	0.08261244	-6.614819e-05	0.0755058	0.9599356	NA
ENSMUSG00000000253	272.0108	-0.03048418	0.07516678	0.1095904	0.8551725
ENSMUSG00000000263	4.544431	0.007371226	0.07084662	0.1496793	NA
ENSMUSG00000000266	420.0551	-0.03072268	0.07438165	0.1191801	0.8633065
ENSMUSG00000000275	73.18031	0.006280655	0.06863686	0.4611561	0.9833475
ENSMUSG00000000276	752.1026	-0.0009631861	0.04678785	0.9549998	0.9983069
ENSMUSG00000000278	68.61924	0.03022272	0.07191315	0.1442886	0.8817938
ENSMUSG00000000282	117.8977	0.007990195	0.06650216	0.5126528	0.9833475
ENSMUSG00000000290	38.9876	0.004670358	0.0671106	0.6502093	0.9918021
ENSMUSG00000000295	78.99564	0.002750965	0.05935164	0.8624359	0.9968315
ENSMUSG00000000296	103.4728	-0.00285225	0.06096356	0.8508685	0.9967687
ENSMUSG00000000301	6.515906	-0.000122283	0.06907639	0.9826072	NA
ENSMUSG00000000303	3.162172	0.003876891	0.07024946	0.325898	NA
ENSMUSG00000000305	389.2227	-0.002931358	0.06025653	0.8501331	0.9967563
ENSMUSG00000000308	849.7568	-0.008913983	0.05717258	0.6083069	0.9907391
ENSMUSG00000000317	7.026838	-0.01039403	0.07030563	0.2028047	NA
ENSMUSG00000000318	1.47205	0.001560344	0.07065106	0.5460044	NA
ENSMUSG00000000320	4.083469	-0.006339973	0.07065395	0.1819996	NA
ENSMUSG00000000325	171.0075	0.02100789	0.06396209	0.2768308	0.9418056
ENSMUSG00000000326	403.2661	0.0005916263	0.05735979	0.9712868	0.9983069
ENSMUSG00000000339	192.741	0.007178558	0.05872316	0.6670536	0.9925851
ENSMUSG00000000340	148.7119	0.005787241	0.06479295	0.6589676	0.9925851
ENSMUSG00000000346	428.4715	-0.009419528	0.05318071	0.5988542	0.9903903
ENSMUSG00000000355	147.0373	-0.00802901	0.06249648	0.5996199	0.9903903
ENSMUSG00000000359	2.482797	0.002659979	0.07022301	0.4367592	NA
ENSMUSG00000000365	11.73405	-0.005952611	0.06881207	0.4585063	0.9833475
ENSMUSG00000000374	892.9476	-0.002364723	0.04196909	0.8844703	0.9976529
ENSMUSG00000000378	284.6404	-0.001370722	0.06140144	0.9263805	0.9983069
ENSMUSG00000000384	118.1682	0.011657	0.06267364	0.4746872	0.9833475
ENSMUSG00000000386	1.526758	0.00157304	0.07042221	0.5699681	NA
ENSMUSG00000000392	3.377443	-0.002044828	0.06939602	0.6819693	NA
ENSMUSG00000000399	482.9869	-0.009070648	0.05662151	0.6047144	0.9907391
ENSMUSG00000000402	8.991361	0.01283019	0.07247184	0.06289189	NA
ENSMUSG00000000409	12.54848	-0.004797097	0.06901912	0.4953335	0.9833475
ENSMUSG00000000411	1.164657	-0.00227623	0.07208025	0.3336689	NA
ENSMUSG00000000416	1358.814	-0.02979379	0.07630134	0.09164357	0.8261421
ENSMUSG00000000420	454.5489	0.0223141	0.06911899	0.20956	0.9174882
ENSMUSG00000000439	228.5972	0.005452571	0.05464472	0.7526036	0.9955018
ENSMUSG00000000440	6.18901	-0.002069195	0.06856161	0.7714814	NA
ENSMUSG00000000441	622.0617	0.0004528725	0.03928473	0.976861	0.9983069
ENSMUSG00000000486	0.4471045	0.0001744275	0.07174604	0.920358	NA
ENSMUSG00000000489	77.21797	0.003360108	0.05826562	0.8367751	0.9959254
ENSMUSG00000000530	71.43787	-0.008506112	0.06793087	0.4285062	0.975772
ENSMUSG00000000531	180.6975	0.008658902	0.06591525	0.506831	0.9833475
ENSMUSG00000000532	702.5388	0.01709203	0.04993045	0.3582878	0.9678929
ENSMUSG00000000538	1342.133	-0.01359688	0.05736372	0.4589116	0.9833475
ENSMUSG00000000544	0.1155471	-0.0002856702	0.07585833	0.8287739	NA
ENSMUSG00000000552	72.36379	-0.0007594381	0.06714895	0.936542	0.9983069
ENSMUSG00000000555	45.71987	-0.00955284	0.06975074	0.262631	0.9407565
